Title,Audience Score,Critic Score,Box Office,Rating,Genre,Main Star,Director,Release Date,Runtime,Year,Quarter
Us,60.0,93.0,175000000.0,G,Horror,                    Lupita Nyong'o,Jordan Peele,2019-03-22,116,2019,1
Toy Story 4,94.0,97.0,434000000.0,R ,Kids & family,                    Tom Hanks,Josh Cooley,2019-06-21,100,2019,2
Little Women,92.0,95.0,108100000.0,R ,Drama,                    Saoirse Ronan,Greta Gerwig,2019-12-25,135,2019,4
Booksmart,77.0,96.0,22700000.0,PG ,Comedy,                    Kaitlyn Dever,Olivia Wilde,2019-05-24,102,2019,2
The Farewell,87.0,97.0,17700000.0,PG ,Comedy,                    Awkwafina,Lulu Wang,2019-08-02,100,2019,3
A Beautiful Day in the Neighborhood,92.0,95.0,61700000.0,R ,Biography,                    Tom Hanks,Marielle Heller,2019-11-22,107,2019,4
One Night in Miami,78.0,98.0,,R ,Drama,                    Kingsley Ben-Adir,Regina King,2020-12-25,110,2020,4
Portrait of a Lady on Fire (Portrait de la jeune fille en feu),92.0,97.0,3800000.0,PG-13,Romance,                    Noémie Merlant,Céline Sciamma,2019-12-06,121,2019,4
Minari,86.0,98.0,700000000.0,R ,Drama,                    Steven Yeun,Lee Isaac Chung,2021-02-12,115,2021,1
Ma Rainey's Black Bottom,72.0,97.0,,R ,History,                    Viola Davis,George C. Wolfe,2020-11-25,94,2020,4
Never Rarely Sometimes Always,54.0,99.0,16300000.0,R ,Drama,                    Ryan Eggold,Eliza Hittman,2020-03-13,101,2020,1
Sound of Metal,90.0,97.0,,R ,Drama,                    Riz Ahmed,Darius Marder,2020-11-20,120,2020,4
Nomadland,82.0,93.0,,R ,Drama,                    Frances McDormand,Chloé Zhao,2021-02-19,108,2021,1
Judas and the Black Messiah,95.0,97.0,5000000.0,PG-13,History,                    Daniel Kaluuya,Shaka King,2021-02-12,126,2021,1
The Father,92.0,98.0,2100000.0,PG-13,Drama,                    Anthony Hopkins,Florian Zeller,2021-02-26,97,2021,1
In the Heights,94.0,94.0,29900000.0,PG-13,Musical,                    Anthony Ramos,Jon M. Chu,2021-06-10,143,2021,2
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",98.0,99.0,2300000.0,R,Documentary,                    Lin-Manuel Miranda,"Ahmir ""Questlove"" Thompson",2021-07-02,117,2021,3
Pig,84.0,97.0,3100000.0,R ,Drama,                    Nicolas Cage,Michael Sarnoski,2021-07-16,92,2021,3
The Power of the Dog,76.0,94.0,,PG-13,Western,                    Benedict Cumberbatch,Jane Campion,2021-11-17,128,2021,4
CODA,91.0,94.0,,PG-13,Drama,                    Emilia Jones,Sian Heder,2021-08-13,111,2021,3
West Side Story,93.0,91.0,38500000.0,,Musical,                    Ansel Elgort,Steven Spielberg,2021-12-10,156,2021,4
